method,lambda,random_seed,h_norm,size_std,max_min_ratio,silhouette,ari,time,cluster_sizes,dataset
ER-K-Means,0.5,23,0.9564574047963742,33.0,1.6470588235294117,0.17199990675738752,0.4520801379111443,0.002991199493408203,"[168, 102]",heart_disease
ER-K-Means,0.5,24,0.9751190649379806,25.0,1.4545454545454546,0.16849954588229546,0.3755186631351883,0.005164623260498047,"[160, 110]",heart_disease
ER-K-Means,0.5,25,0.9770802227698927,24.0,1.4324324324324325,0.16810960654606746,0.38473282067570297,0.002779722213745117,"[159, 111]",heart_disease
ER-K-Means,0.5,26,0.9807575217557173,22.0,1.3893805309734513,0.16756253879657204,0.3847598668877059,0.005812406539916992,"[113, 157]",heart_disease
ER-K-Means,0.5,27,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.004395484924316406,"[102, 168]",heart_disease
ER-K-Means,0.5,28,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.0067272186279296875,"[102, 168]",heart_disease
ER-K-Means,0.5,29,0.9537489878271294,34.0,1.6732673267326732,0.1724953880449938,0.442089072787835,0.0033769607543945312,"[169, 101]",heart_disease
ER-K-Means,1.0,0,0.9751190649379806,25.0,1.4545454545454546,0.16827405883037977,0.3940283428446605,0.0049092769622802734,"[110, 160]",heart_disease
ER-K-Means,1.0,1,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.0022988319396972656,"[168, 102]",heart_disease
ER-K-Means,1.0,2,0.9537489878271294,34.0,1.6732673267326732,0.1724953880449938,0.442089072787835,0.004140138626098633,"[169, 101]",heart_disease
ER-K-Means,1.0,3,0.9509560484520871,35.0,1.7,0.17310104582344954,0.4322070331171048,0.0025207996368408203,"[170, 100]",heart_disease
ER-K-Means,1.0,4,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.0028786659240722656,"[102, 168]",heart_disease
ER-K-Means,1.0,5,0.9807575217557173,22.0,1.3893805309734513,0.16756253879657204,0.3847598668877059,0.005849361419677734,"[157, 113]",heart_disease
ER-K-Means,1.0,6,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.00460505485534668,"[102, 168]",heart_disease
ER-K-Means,1.0,7,0.9537489878271294,34.0,1.6732673267326732,0.1724953880449938,0.442089072787835,0.0058634281158447266,"[101, 169]",heart_disease
ER-K-Means,1.0,8,0.9640787648053437,30.0,1.5714285714285714,0.16998721002261002,0.3663458220044343,0.0022177696228027344,"[105, 165]",heart_disease
ER-K-Means,1.0,9,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.0051801204681396484,"[102, 168]",heart_disease
ER-K-Means,1.0,10,0.9807575217557173,22.0,1.3893805309734513,0.16756253879657204,0.3847598668877059,0.0062410831451416016,"[157, 113]",heart_disease
ER-K-Means,1.0,11,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.0054912567138671875,"[102, 168]",heart_disease
ER-K-Means,1.0,12,0.9564574047963742,33.0,1.6470588235294117,0.17187526160030075,0.4520801379111443,0.003156900405883789,"[168, 102]",heart_disease
