method,lambda,random_seed,h_norm,size_std,max_min_ratio,silhouette,ari,time,cluster_sizes,dataset
ER-K-Means,0.5,7,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0036754608154296875,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,0.5,8,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0034737586975097656,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,9,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004143714904785156,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,0.5,10,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002196073532104492,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,11,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002254009246826172,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,12,0.47818858207878834,365.42973180748294,13.076923076923077,0.5501247089515733,0.5426953765791948,0.006753683090209961,"[850, 85, 65]",syn_3c_imbalance_70
ER-K-Means,0.5,13,0.47939371932300096,365.339416007757,11.486486486486486,0.5467174271389267,0.5422987067100944,0.0030863285064697266,"[850, 76, 74]",syn_3c_imbalance_70
ER-K-Means,0.5,14,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0020062923431396484,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,15,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0028221607208251953,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,16,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004690647125244141,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,0.5,17,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002663850784301758,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,18,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0024518966674804688,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,19,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0020487308502197266,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,20,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0029866695404052734,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,21,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002415895462036133,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,22,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0024023056030273438,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,23,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004129886627197266,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,24,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002340078353881836,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,0.5,25,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0053408145904541016,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,26,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0021016597747802734,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,27,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0032634735107421875,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,0.5,28,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0038683414459228516,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,0.5,29,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003025054931640625,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,0,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0033524036407470703,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,1,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0046558380126953125,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,1.0,2,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0038139820098876953,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,1.0,3,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0029494762420654297,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,4,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0030975341796875,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,5,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002180814743041992,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,6,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003954648971557617,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,7,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003772258758544922,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,1.0,8,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0032944679260253906,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,9,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003914833068847656,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,1.0,10,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002130270004272461,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,11,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002048969268798828,"[700, 150, 150]",syn_3c_imbalance_70
